##############################
Log started on 3/20/2009 6:44:08 PM

3/20/2009 7:09:43 PM: 127.0.0.1: Owner 0xF28 "GM Darky" ('Dreadfull') used command 'admin '
3/20/2009 7:42:37 PM: 71.204.252.212: Player 0xF83 "Grim" ('speedy2003') used command 'c '
3/20/2009 7:42:41 PM: 71.204.252.212: Player 0xF83 "Grim" ('speedy2003') used command 'c hi'
3/20/2009 7:43:07 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'afk '
3/20/2009 7:49:11 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'afk '
3/20/2009 9:56:56 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'where '
3/20/2009 9:57:13 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'where '
3/20/2009 9:57:24 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'where '
3/20/2009 9:57:38 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'where '
3/20/2009 9:57:51 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'where '
3/20/2009 9:58:24 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'where '
3/20/2009 9:58:51 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'where '
3/20/2009 10:01:02 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'where '
3/20/2009 10:01:28 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'where '
3/20/2009 10:01:45 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'where '
3/20/2009 10:02:09 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'where '
3/20/2009 10:02:27 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'where '
3/20/2009 10:03:03 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'where '
3/20/2009 10:03:42 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'where '
3/20/2009 10:03:57 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'where '
3/20/2009 10:04:22 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'where '
3/20/2009 10:04:39 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'where '
3/20/2009 10:04:50 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'where '
3/20/2009 10:05:20 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'where '
3/20/2009 10:06:09 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'where '
3/20/2009 10:06:16 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'where '
3/20/2009 10:06:27 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'where '
3/20/2009 10:06:57 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'where '
3/20/2009 10:16:23 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'where '
3/20/2009 10:16:36 PM: 72.197.145.156: Player 0xFB8 "Vox" ('goldy') used command 'where '
3/20/2009 10:37:08 PM: 71.204.252.212: Player 0xF83 "Grim" ('speedy2003') used command 'c '
